"idauniq","W4_Drink","W5_Drink","W6_Drink","W7_Drink","W8_Drink","Sex"
105926,1,-99,1,-99,-99,2
105927,2,2,2,2,2,2
105947,2,2,2,1,2,2
105952,3,2,-99,2,2,2
105957,1,1,1,-99,2,2
105958,-99,-99,-99,-99,-99,2
105960,1,1,-99,2,2,2
105961,3,3,3,3,2,1
105963,3,2,2,2,2,2
105965,2,1,-99,-99,1,2
105975,-99,-99,-99,-99,-99,2
105978,1,2,1,2,1,2
105986,1,1,2,2,-99,2
105988,2,2,2,2,1,2
105994,-99,3,2,2,2,2
105998,3,3,2,3,2,1
106005,2,2,3,2,2,1
106006,2,2,2,3,3,1
106013,2,3,2,-99,2,2
106015,3,4,3,3,3,2
106019,3,3,3,3,1,1
106021,-99,2,2,2,2,2
106023,2,2,2,2,2,2
106025,-99,2,-99,1,-99,1
106028,3,3,3,3,3,1
106031,3,3,3,3,3,1
106035,1,1,-99,-99,-99,1
106038,2,2,2,1,1,1
106039,2,1,1,1,1,1
106040,-99,-99,-99,-99,-99,2
106043,-99,2,3,1,-99,2
106045,2,2,2,2,2,1
106046,1,1,1,1,-99,2
106052,2,3,2,2,2,2
106055,1,1,1,2,-99,2
106062,2,2,2,2,2,1
106065,3,3,3,3,3,1
106066,2,2,2,2,2,1
106068,1,1,1,1,-99,2
106069,-99,3,2,-99,2,2
106071,2,2,2,2,2,1
106072,2,1,1,2,1,2
106074,2,2,2,2,2,2
106076,2,1,2,1,1,2
106078,3,1,4,1,4,1
106079,3,3,3,3,3,2
106081,4,2,4,4,4,2
106086,3,2,2,2,3,1
106087,1,1,-99,1,1,2
106093,2,1,2,2,1,2
106095,2,2,2,2,2,2
106097,-99,1,1,-99,-99,1
106098,-99,-99,2,2,1,2
106101,2,2,2,2,2,2
106113,2,2,2,2,2,1
106117,2,1,2,1,1,2
106125,1,1,2,1,1,2
106126,2,2,2,2,2,2
106134,2,2,2,2,2,2
106141,-99,-99,-99,-99,1,2
106144,2,2,2,2,2,1
106148,2,2,2,1,1,1
106151,-99,3,2,2,2,2
106154,1,3,1,2,3,2
106158,3,3,3,-99,-99,2
106162,2,2,2,2,2,2
106164,2,2,-99,2,-99,2
106167,3,4,4,4,4,2
106171,-99,2,3,-99,2,2
106172,3,3,3,2,3,1
106173,2,2,2,3,3,1
106174,2,1,1,1,2,2
106182,-99,-99,1,-99,-99,1
106189,2,1,2,1,-99,2
106190,3,2,3,3,3,1
106195,1,1,1,2,1,2
106196,2,2,2,2,2,1
106197,2,2,2,2,2,1
106199,2,1,1,1,1,1
106205,3,2,-99,2,2,1
106208,2,2,-99,-99,2,2
106209,3,3,3,3,3,1
106212,2,2,2,1,1,1
106215,3,3,3,3,3,1
106221,3,3,3,2,3,1
106227,2,1,1,2,1,2
106248,-99,2,-99,-99,2,1
106249,2,2,2,2,-99,1
106257,1,2,2,-99,2,1
106260,-99,1,-99,1,-99,2
106266,2,2,2,2,-99,2
106269,2,2,2,1,2,1
106271,2,-99,2,3,2,2
106279,-99,1,1,1,1,2
106286,2,1,1,1,2,2
106294,3,3,-99,3,-99,1
106297,4,2,3,3,3,2
106300,-99,2,2,1,1,2
106301,3,3,3,3,3,1
106302,1,2,2,1,2,1
106303,-99,2,2,2,2,1
106307,1,1,-99,-99,-99,2
106308,2,2,2,2,2,2
106309,4,3,3,3,3,2
106317,2,2,2,1,2,2
106324,2,1,2,2,2,2
106325,4,3,3,3,-99,2
106327,2,1,1,-99,1,2
106333,2,1,1,-99,-99,2
106341,-99,3,3,3,2,2
106343,2,2,2,3,2,2
106346,3,3,3,3,3,1
106348,-99,2,2,-99,3,1
106349,-99,-99,-99,2,2,1
106350,2,2,2,2,2,2
106352,2,2,2,3,2,1
106363,3,3,3,3,3,1
106364,3,3,3,3,3,1
106369,3,-99,2,2,1,1
106370,3,4,4,4,3,1
106372,2,-99,-99,-99,-99,1
106373,2,1,1,1,1,2
106376,3,4,3,-99,-99,2
106377,2,2,-99,2,2,1
106385,1,1,1,1,1,2
106386,2,2,2,2,-99,2
106388,2,3,3,3,3,2
106390,2,2,2,2,2,1
106395,2,2,1,2,2,2
106396,3,3,-99,3,3,1
106399,2,2,-99,1,2,2
106400,1,1,1,-99,-99,2
106403,2,3,3,4,3,1
106416,1,2,2,1,1,2
106419,2,2,2,2,2,2
106420,4,4,4,4,4,1
106425,4,3,3,3,3,1
106432,-99,-99,-99,1,-99,1
106433,2,2,3,2,3,1
106435,2,2,3,2,-99,1
106442,2,2,2,2,1,2
106447,2,-99,1,-99,-99,2
106456,-99,-99,-99,-99,-99,2
106458,3,-99,2,3,2,1
106460,1,1,1,2,1,1
106462,2,2,3,3,3,1
106463,3,3,-99,3,3,1
106464,1,2,2,2,1,1
106465,3,4,3,3,4,1
106466,2,2,2,2,-99,1
106467,3,3,3,2,3,1
106475,2,1,2,1,1,2
106481,-99,-99,2,2,3,2
106484,1,1,-99,2,2,2
106486,2,2,1,1,1,1
106487,2,2,2,2,2,2
106488,2,2,2,-99,2,2
106490,3,2,3,3,3,1
106491,1,2,-99,-99,1,1
106492,1,2,1,-99,1,2
106497,-99,-99,3,2,2,2
106501,1,-99,-99,-99,-99,2
106502,2,2,2,2,3,2
106503,4,3,3,3,3,1
106509,1,2,2,2,1,1
106516,2,2,2,2,2,2
106517,1,1,1,1,1,2
106519,4,3,3,3,3,1
106522,2,2,3,2,2,2
106524,3,3,3,4,3,1
106525,2,2,2,2,3,2
106526,2,2,2,2,2,1
106527,-99,-99,-99,-99,-99,2
106530,-99,-99,-99,-99,-99,2
106531,1,-99,-99,-99,-99,2
106533,2,1,2,2,2,1
106534,3,3,3,3,3,1
106536,2,2,2,2,1,1
106544,1,1,-99,1,-99,2
106546,-99,-99,-99,-99,-99,1
106547,2,1,1,2,1,2
106548,1,1,-99,-99,1,2
106549,3,2,3,3,3,1
106554,2,2,2,2,3,1
106564,1,1,-99,-99,-99,1
106566,-99,1,-99,1,-99,2
106572,2,2,2,2,1,2
106576,2,2,1,2,2,2
106580,2,2,2,2,1,2
106583,1,2,1,2,1,2
106590,-99,-99,2,-99,1,2
106593,3,3,3,1,1,1
106595,-99,1,1,-99,2,2
106596,2,2,2,2,2,2
106598,-99,2,2,2,2,2
106599,2,2,3,3,2,2
106607,3,2,3,3,3,1
106609,3,3,3,3,3,2
106611,1,1,1,1,1,1
106612,3,4,4,4,3,2
106613,2,2,2,2,2,1
106620,3,2,3,3,4,2
106621,1,-99,2,3,2,1
106633,1,1,1,1,2,1
106638,2,1,1,1,2,2
106643,2,2,2,3,3,2
106645,1,1,-99,-99,1,1
106646,3,2,3,3,3,2
106647,2,1,1,-99,-99,1
106651,1,1,2,1,1,2
106652,2,2,3,2,-99,2
106654,1,1,1,2,1,1
106660,1,2,-99,2,-99,1
106661,3,3,3,3,3,1
106666,2,2,2,1,2,2
106672,1,1,-99,1,-99,2
106676,2,-99,3,2,2,2
106683,2,2,2,2,2,1
106684,2,2,-99,2,1,1
106686,3,3,3,3,3,1
106690,3,-99,2,-99,3,2
106694,2,2,2,2,2,2
106697,3,2,2,2,3,2
106698,4,3,4,3,4,2
106710,2,2,2,1,1,2
106712,-99,4,3,3,-99,1
106715,2,2,2,2,-99,2
106727,3,3,3,3,3,1
106729,2,2,1,2,2,2
106737,-99,1,2,-99,1,1
106740,-99,-99,-99,1,2,2
106743,3,3,3,3,3,2
106752,3,3,3,3,3,1
106753,3,3,3,3,3,1
106754,3,4,4,3,-99,2
106755,-99,-99,-99,-99,-99,2
106762,2,1,1,1,1,2
106772,4,4,3,3,4,2
106773,2,1,2,2,2,2
106774,2,2,2,2,2,2
106776,2,2,1,1,1,2
106779,2,1,1,1,2,2
106781,-99,-99,-99,-99,-99,1
106783,-99,-99,-99,-99,-99,1
106789,1,2,1,1,1,2
106791,1,-99,1,-99,-99,2
106792,3,3,4,3,3,2
106798,-99,-99,2,-99,1,2
106799,-99,1,1,1,1,2
106800,2,1,2,1,2,2
